tAsp(fs);4C[Asp-ONS];4C[Asp-OSi];21[Asp-ONS];21[Asp-OSi];30[Asp-ONS];30[Asp-OSi];;;;;;;;;;;;;;;;;;;
0;10;0;10;0;10;0;;;;;;;;;;;;;;;;;;;
10;9.90E+00;0.1;9.85E+00;0.15;9.84E+00;0.16;;;;;;;;;;;;;;;;;;;
20;9.80E+00;0.2;9.70E+00;0.3;9.69E+00;0.31;;;;;;;;;;;;;;;;;;;
30;9.70E+00;0.3;9.55E+00;0.45;9.53E+00;0.47;;;;;;;;;;;;;;;;;;;
40;9.60E+00;0.4;9.40E+00;0.6;9.38E+00;0.62;;;;;;;;;;;;;;;;;;;
50;9.50E+00;0.5;9.26E+00;0.74;9.23E+00;0.77;;;;;;;;;;;;;;;;;;;
60;9.41E+00;0.59;9.12E+00;0.88;9.09E+00;0.91;;;;;;;;;;;;;;;;;;;
70;9.31E+00;0.69;8.98E+00;1.02;8.94E+00;1.06;;;;;;;;;;;;;;;;;;;
80;9.22E+00;0.78;8.84E+00;1.16;8.80E+00;1.2;;;;;;;;;;;;;;;;;;;
90;9.12E+00;0.88;8.71E+00;1.29;8.66E+00;1.34;;;;;;;;;;;;;;;;;;;
100;9.03E+00;0.97;8.57E+00;1.43;8.53E+00;1.47;;;;;;;;;;;;;;;;;;;
110;8.94E+00;1.06;8.44E+00;1.56;8.39E+00;1.61;;;;;;;;;;;;;;;;;;;
120;8.85E+00;1.15;8.31E+00;1.69;8.26E+00;1.74;;;;;;;;;;;;;;;;;;;
130;8.76E+00;1.24;8.19E+00;1.81;8.13E+00;1.87;;;;;;;;;;;;;;;;;;;
140;8.67E+00;1.33;8.06E+00;1.94;8.00E+00;2;;;;;;;;;;;;;;;;;;;
150;8.58E+00;1.42;7.94E+00;2.06;7.87E+00;2.13;;;;;;;;;;;;;;;;;;;
160;8.50E+00;1.5;7.82E+00;2.18;7.75E+00;2.25;;;;;;;;;;;;;;;;;;;
170;8.41E+00;1.59;7.70E+00;2.3;7.63E+00;2.37;;;;;;;;;;;;;;;;;;;
180;8.32E+00;1.68;7.58E+00;2.42;7.51E+00;2.49;;;;;;;;;;;;;;;;;;;
190;8.24E+00;1.76;7.46E+00;2.54;7.39E+00;2.61;;;;;;;;;;;;;;;;;;;
200;8.16E+00;1.84;7.35E+00;2.65;7.27E+00;2.73;;;;;;;;;;;;;;;;;;;
210;8.07E+00;1.93;7.24E+00;2.76;7.16E+00;2.84;;;;;;;;;;;;;;;;;;;
220;7.99E+00;2.01;7.13E+00;2.87;7.04E+00;2.96;;;;;;;;;;;;;;;;;;;
230;7.91E+00;2.09;7.02E+00;2.98;6.93E+00;3.07;;;;;;;;;;;;;;;;;;;
240;7.83E+00;2.17;6.91E+00;3.09;6.82E+00;3.18;;;;;;;;;;;;;;;;;;;
250;7.75E+00;2.25;6.81E+00;3.19;6.71E+00;3.29;;;;;;;;;;;;;;;;;;;
260;7.67E+00;2.33;6.70E+00;3.3;6.61E+00;3.39;;;;;;;;;;;;;;;;;;;
270;7.60E+00;2.4;6.60E+00;3.4;6.50E+00;3.5;;;;;;;;;;;;;;;;;;;
280;7.52E+00;2.48;6.50E+00;3.5;6.40E+00;3.6;;;;;;;;;;;;;;;;;;;
290;7.44E+00;2.56;6.40E+00;3.6;6.30E+00;3.7;;;;;;;;;;;;;;;;;;;
300;7.37E+00;2.63;6.30E+00;3.7;6.20E+00;3.8;;;;;;;;;;;;;;;;;;;
310;7.29E+00;2.71;6.21E+00;3.79;6.10E+00;3.9;;;;;;;;;;;;;;;;;;;
320;7.22E+00;2.78;6.11E+00;3.89;6.01E+00;4;;;;;;;;;;;;;;;;;;;
330;7.15E+00;2.85;6.02E+00;3.98;5.91E+00;4.09;;;;;;;;;;;;;;;;;;;
340;7.07E+00;2.93;5.93E+00;4.07;5.82E+00;4.18;;;;;;;;;;;;;;;;;;;
350;7.00E+00;3;5.84E+00;4.16;5.72E+00;4.28;;;;;;;;;;;;;;;;;;;
360;6.93E+00;3.07;5.75E+00;4.25;5.63E+00;4.37;;;;;;;;;;;;;;;;;;;
370;6.86E+00;3.14;5.66E+00;4.34;5.55E+00;4.46;;;;;;;;;;;;;;;;;;;
380;6.79E+00;3.21;5.57E+00;4.43;5.46E+00;4.54;;;;;;;;;;;;;;;;;;;
390;6.72E+00;3.28;5.49E+00;4.51;5.37E+00;4.63;;;;;;;;;;;;;;;;;;;
400;6.65E+00;3.35;5.40E+00;4.6;5.29E+00;4.71;;;;;;;;;;;;;;;;;;;
410;6.59E+00;3.41;5.32E+00;4.68;5.20E+00;4.8;;;;;;;;;;;;;;;;;;;
420;6.52E+00;3.48;5.24E+00;4.76;5.12E+00;4.88;;;;;;;;;;;;;;;;;;;
430;6.45E+00;3.55;5.16E+00;4.84;5.04E+00;4.96;;;;;;;;;;;;;;;;;;;
440;6.39E+00;3.61;5.08E+00;4.92;4.96E+00;5.04;;;;;;;;;;;;;;;;;;;
450;6.32E+00;3.68;5.00E+00;5;4.88E+00;5.12;;;;;;;;;;;;;;;;;;;
460;6.26E+00;3.74;4.93E+00;5.07;4.80E+00;5.2;;;;;;;;;;;;;;;;;;;
470;6.20E+00;3.8;4.85E+00;5.15;4.73E+00;5.27;;;;;;;;;;;;;;;;;;;
480;6.13E+00;3.87;4.78E+00;5.22;4.65E+00;5.35;;;;;;;;;;;;;;;;;;;
490;6.07E+00;3.93;4.70E+00;5.3;4.58E+00;5.42;;;;;;;;;;;;;;;;;;;
500;6.01E+00;3.99;4.63E+00;5.37;4.51E+00;5.49;;;;;;;;;;;;;;;;;;;
510;5.95E+00;4.05;4.56E+00;5.44;4.44E+00;5.56;;;;;;;;;;;;;;;;;;;
520;5.89E+00;4.11;4.49E+00;5.51;4.37E+00;5.63;;;;;;;;;;;;;;;;;;;
530;5.83E+00;4.17;4.42E+00;5.58;4.30E+00;5.7;;;;;;;;;;;;;;;;;;;
540;5.77E+00;4.23;4.36E+00;5.64;4.23E+00;5.77;;;;;;;;;;;;;;;;;;;
550;5.71E+00;4.29;4.29E+00;5.71;4.16E+00;5.84;;;;;;;;;;;;;;;;;;;
560;5.65E+00;4.35;4.22E+00;5.78;4.10E+00;5.9;;;;;;;;;;;;;;;;;;;
570;5.60E+00;4.4;4.16E+00;5.84;4.03E+00;5.97;;;;;;;;;;;;;;;;;;;
580;5.54E+00;4.46;4.10E+00;5.9;3.97E+00;6.03;;;;;;;;;;;;;;;;;;;
590;5.48E+00;4.52;4.03E+00;5.97;3.91E+00;6.1;;;;;;;;;;;;;;;;;;;
600;5.43E+00;4.57;3.97E+00;6.03;3.84E+00;6.16;;;;;;;;;;;;;;;;;;;
610;5.37E+00;4.63;3.91E+00;6.09;3.78E+00;6.22;;;;;;;;;;;;;;;;;;;
620;5.32E+00;4.68;3.85E+00;6.15;3.72E+00;6.28;;;;;;;;;;;;;;;;;;;
630;5.26E+00;4.74;3.79E+00;6.21;3.66E+00;6.34;;;;;;;;;;;;;;;;;;;
640;5.21E+00;4.79;3.74E+00;6.26;3.61E+00;6.39;;;;;;;;;;;;;;;;;;;
650;5.16E+00;4.84;3.68E+00;6.32;3.55E+00;6.45;;;;;;;;;;;;;;;;;;;
660;5.11E+00;4.89;3.62E+00;6.38;3.49E+00;6.51;;;;;;;;;;;;;;;;;;;
670;5.05E+00;4.95;3.57E+00;6.43;3.44E+00;6.56;;;;;;;;;;;;;;;;;;;
680;5.00E+00;5;3.51E+00;6.49;3.38E+00;6.62;;;;;;;;;;;;;;;;;;;
690;4.95E+00;5.05;3.46E+00;6.54;3.33E+00;6.67;;;;;;;;;;;;;;;;;;;
700;4.90E+00;5.1;3.41E+00;6.59;3.28E+00;6.72;;;;;;;;;;;;;;;;;;;
710;4.85E+00;5.15;3.35E+00;6.65;3.23E+00;6.77;;;;;;;;;;;;;;;;;;;
720;4.80E+00;5.2;3.30E+00;6.7;3.17E+00;6.83;;;;;;;;;;;;;;;;;;;
730;4.75E+00;5.25;3.25E+00;6.75;3.12E+00;6.88;;;;;;;;;;;;;;;;;;;
740;4.71E+00;5.29;3.20E+00;6.8;3.07E+00;6.93;;;;;;;;;;;;;;;;;;;
750;4.66E+00;5.34;3.15E+00;6.85;3.03E+00;6.97;;;;;;;;;;;;;;;;;;;
760;4.61E+00;5.39;3.11E+00;6.89;2.98E+00;7.02;;;;;;;;;;;;;;;;;;;
770;4.56E+00;5.44;3.06E+00;6.94;2.93E+00;7.07;;;;;;;;;;;;;;;;;;;
780;4.52E+00;5.48;3.01E+00;6.99;2.89E+00;7.12;;;;;;;;;;;;;;;;;;;
790;4.47E+00;5.53;2.97E+00;7.03;2.84E+00;7.16;;;;;;;;;;;;;;;;;;;
800;4.43E+00;5.57;2.92E+00;7.08;2.79E+00;7.21;;;;;;;;;;;;;;;;;;;
810;4.38E+00;5.62;2.88E+00;7.12;2.75E+00;7.25;;;;;;;;;;;;;;;;;;;
820;4.34E+00;5.66;2.83E+00;7.17;2.71E+00;7.29;;;;;;;;;;;;;;;;;;;
830;4.29E+00;5.71;2.79E+00;7.21;2.66E+00;7.34;;;;;;;;;;;;;;;;;;;
840;4.25E+00;5.75;2.75E+00;7.25;2.62E+00;7.38;;;;;;;;;;;;;;;;;;;
850;4.21E+00;5.79;2.70E+00;7.3;2.58E+00;7.42;;;;;;;;;;;;;;;;;;;
860;4.16E+00;5.84;2.66E+00;7.34;2.54E+00;7.46;;;;;;;;;;;;;;;;;;;
870;4.12E+00;5.88;2.62E+00;7.38;2.50E+00;7.5;;;;;;;;;;;;;;;;;;;
